City_name;LSTM RMSE;LSTM R2
Shantou;0.05655479431152344;0.0
Foshan;106.34364216911153;-49.19739088826699
Jiangmen;4.194179744647437;-72.2964329381798
Zhanjiang;11.612434387207031;0.0
Maoming;0.6595821380615234;0.0
Zhaoqing;12.162477242258488;-89.19869274955042
Huizhou;0.13881683349609375;0.0
Meizhou;0.07867050170898438;0.0
Shanwei;0.029901981353759766;0.0
Heyuan;0.03250694274902344;0.0
Yangjiang;8.900210530407637;-3.2112571570507127
Qingyuan;2.8575172424316406;0.0
Dongguan;20.292477396590783;-3.054594786989684
Zhongshan;3.6206634560473145;0.0
Chaozhou;0.056691646575927734;0.0
Jieyang;0.044745445251464844;0.0
Nanning;0.311010742333482;0.0
Liuzhou;0.03418731689453125;0.0
Guilin;0.09334564208984375;0.0
Wuzhou;1.430511474609375e-06;0.0
Beihai;0.04038610947496933;0.0
Fangchenggang;0.05643653869628906;0.0
Qinzhou;0.20346355438232422;0.0
Guigang;0.09355831146240234;0.0
Haikou;1.92741496318406;-40.27698261026562
Sanya;0.6957637890123747;0.0
Chengdu;464.872549922772;-266.84305269125605
Zigong;0.5476917389179652;-0.4284106495673299
Panzhihua;0.3416862487792969;0.0
Luzhou;0.991637325258612;0.0
Deyang;0.22839927673339844;0.0
Mianyang;0.9652004241943359;0.0
Guangyuan;0.9029557349638334;-8.059212047530451
Suining;0.1408367156982422;0.0
Neijiang;0.030149459838867188;0.0
Leshan;0.019195472596944273;0.0
Nanchong;0.47194671630859375;0.0
Meishan;0.1961803436279297;0.0
Yibin;0.9704132080078125;0.0
Dazhou;0.05488948848499642;0.0
Bazhong;0.21492767333984375;0.0
Ziyang;0.00044536590576171875;0.0
Guiyang;0.0006632397266865548;0.0
Liupanshui;0.083099365234375;0.0
Zunyi;6.769716883074726;-0.5716414893739954
Anshun;0.005490803719032756;0.0
Kunming;0.037466048543761385;0.0
Qujing;0.27266693115234375;0.0
Yuxi;0.0029665469782216743;0.0
Alidiqu;1.4968233107917828e-06;0.0
Tongchuan;0.046787261962890625;0.0
Baoji;0.1713705062866211;0.0
Xianyang;0.32984368725575103;-0.20885401505483836
Weinan;0.2084980010986328;0.0
Hanzhong;0.005128109253797112;0.0
Ankang;0.020864185341886148;0.0
Lanzhou;46.73158928641783;-0.5801921608049727
Jinchang;2.2498838867436093e-05;0.0
Baiyin;0.00035047706292162323;0.0
Tianshui;20.708096340979584;-0.4389626625602878
Xining;6.547951521271451;-0.41784624772391554
Yinchuan;20.2119449234521;-0.6630952986116876
Shizuishan;0.003878032458157049;0.0
Wuzhong;6.1628585317803095;-0.6592759274354407
Hetiandiqu;3.2145531928156543e-06;0.0
