lag,out,node_id,metric,friedman_p_value,best_model_by_rank,significant_diff_found
7,7,118,MAE,0.0019304541362277095,GCRN,True
7,7,119,RMSE,0.0052475183991813855,GCRN,True
7,7,119,MAE,0.0005195746821548384,GCLSTM,True
7,7,120,RMSE,3.500866670425978e-06,GCLSTM,True
7,7,120,MAE,4.78511739212901e-06,GCLSTM,True
7,7,121,RMSE,0.03877420783172202,LSTM,True
7,7,121,MAE,0.0990134083638263,LSTM,False
7,7,122,RMSE,0.4437473100810798,LSTM,False
7,7,122,MAE,0.4723665527410149,GCRN,False
7,7,123,RMSE,7.4113347994505565e-06,GCLSTM,True
7,7,123,MAE,0.019496896108597995,GCLSTM,True
7,7,124,RMSE,5.771953345416447e-06,GCLSTM,True
7,7,124,MAE,5.771953345416447e-06,GCRN,True
7,7,125,RMSE,1.2878968743320383e-06,GCLSTM,True
7,7,125,MAE,0.046770622383958974,LSTM,True
7,7,126,RMSE,0.0009706932995199092,GCLSTM,True
7,7,126,MAE,0.08737902619542039,LSTM,False
7,7,127,RMSE,0.8290291181804004,GCRN,False
7,7,127,MAE,0.009209681603968142,LSTM,True
7,7,128,RMSE,0.0990134083638263,GCLSTM,False
7,7,128,MAE,0.0052475183991813855,GCRN,True
7,7,129,RMSE,3.500866670425978e-06,GCLSTM,True
7,7,129,MAE,0.1849813999073043,GCLSTM,False
7,7,130,RMSE,0.0009706932995199092,GCLSTM,True
7,7,130,MAE,0.0009706932995199092,GCLSTM,True
7,7,131,RMSE,0.015184197956837946,LSTM,True
7,7,131,MAE,0.10539922456186433,LSTM,False
7,7,132,RMSE,0.007172507245008699,GCLSTM,True
7,7,132,MAE,0.0009706932995199092,GCLSTM,True
7,7,133,RMSE,5.771953345416447e-06,GCLSTM,True
7,7,133,MAE,2.2603294069810534e-06,GCLSTM,True
7,7,134,RMSE,4.78511739212901e-06,GCRN,True
7,7,134,MAE,0.046770622383958974,GCRN,False
7,7,135,RMSE,0.0680508540250102,GCLSTM,False
7,7,135,MAE,0.006329715427485746,GCLSTM,True
7,7,136,RMSE,3.763786373644495e-05,GCLSTM,True
7,7,136,MAE,0.0006671470977542673,GCLSTM,True
7,7,137,RMSE,0.36787944117144245,GCLSTM,False
7,7,137,MAE,0.00010231032105679586,GCLSTM,True
7,7,138,RMSE,0.002328572174237713,LSTM,True
7,7,138,MAE,0.0004307425405756874,GCLSTM,True
7,7,139,RMSE,0.569782824730923,GCLSTM,False
7,7,139,MAE,0.0009118819655545164,GCLSTM,True
7,7,140,RMSE,0.4437473100810798,LSTM,False
7,7,140,MAE,0.3049827687110593,GCRN,False
7,7,141,RMSE,0.008651695203120634,LSTM,True
7,7,141,MAE,0.0990134083638263,LSTM,False
7,7,142,RMSE,0.0016004026902445637,GCRN,True
7,7,142,MAE,6.144212353328207e-06,GCRN,True
7,7,143,RMSE,3.967001651986408e-06,GCLSTM,True
7,7,143,MAE,0.00031513797473735615,GCLSTM,True
7,7,144,RMSE,0.00012340980408667962,GCLSTM,True
7,7,144,MAE,1.078342850406167e-05,GCLSTM,True
7,7,145,RMSE,0.0010999396107533187,GCLSTM,True
7,7,145,MAE,0.0009706932995199092,GCLSTM,True
