param_config,K,hidden_channel,model,lag,out,num_reps_found,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_min,MAE_max
K1_hc128_lag7_out14,1,128,GCRN,7,14,2,50.985173093422326,0.015300122105941227,593.0335071572447,593.0641074014566,4.022166112877408,0.016961011554055716,8.397687468992455,8.431609492100566
K1_hc256_lag7_out14,1,256,GCRN,7,14,2,49.501780698475386,0.00141111056234422,592.3898158613578,592.3926380824824,4.082359436003422,0.04212378355319668,8.412860935950953,8.497108503057346
K2_hc32_lag7_out14,2,32,GCRN,7,14,2,52.93391843139183,0.1711435576218605,593.4906923046375,593.8329794198812,4.008575045157982,0.035536164486703825,8.413916884908625,8.484989213882033
K2_hc64_lag7_out14,2,64,GCRN,7,14,2,52.527833968477424,0.02951271105257547,593.5719681796326,593.6309936017377,3.9713548012814406,0.036817244140573635,8.375419365969362,8.44905385425051
K2_hc128_lag7_out14,2,128,GCRN,7,14,2,49.43579155922708,0.08737432899602027,592.871503552361,593.046252210353,3.832954543552719,0.05106671718612077,8.250007040007546,8.352140474379787
K2_hc256_lag7_out14,2,256,GCRN,7,14,2,49.37344631605744,0.013869764873220447,592.5098285691145,592.5375680988609,3.8530313011694837,0.0017576480146059836,8.29370242067526,8.297217716704472
K3_hc32_lag7_out14,3,32,GCRN,7,14,2,53.45289871021673,0.0752037618455006,593.7984070763957,593.9488146000867,3.956381844341366,0.02767084002619402,8.394747721823833,8.450089401876221
K3_hc64_lag7_out14,3,64,GCRN,7,14,2,53.36335724402796,0.09140444025530314,593.6441851394549,593.8269940199655,3.8890704781899545,0.05787080063926009,8.296485691656063,8.412227292934583
K3_hc128_lag7_out14,3,128,GCRN,7,14,2,51.8756907951963,0.13518963709168474,593.313854723277,593.5842339974604,3.7612769653581686,0.018172453869400584,8.21103747793198,8.24738238567078
K3_hc256_lag7_out14,3,256,GCRN,7,14,2,49.821129299319274,0.06166003432042544,592.9048603336934,593.0281804023342,3.7104454869157135,0.005887505645250535,8.172983687272604,8.184758698563105
K4_hc32_lag7_out14,4,32,GCRN,7,14,2,52.73241218528361,0.16333194619517144,593.5605245219483,593.8871884143387,3.8571694019877345,0.0462715590412488,8.313780378302235,8.406323496384733
K4_hc64_lag7_out14,4,64,GCRN,7,14,2,54.75025314933306,0.08442470695740667,593.9693033599867,594.1381527739015,3.776071609814065,0.013299722922793578,8.269563750839575,8.296163196685162
K4_hc128_lag7_out14,4,128,GCRN,7,14,2,52.730273524380536,0.21484800773663437,593.5954501078792,594.0251461233524,3.7392963102595203,0.033736359931661575,8.214278479059704,8.281751198923027
K4_hc256_lag7_out14,4,256,GCRN,7,14,2,50.78739993447752,0.10669809008760467,593.2254006939525,593.4387968741277,3.6423460100041924,0.027574337580881902,8.112232508539806,8.16738118370157
K1_hc32_lag7_out14,1,32,GCLSTM,7,14,2,53.276086401980095,0.0330601475238268,593.6059922149491,593.6721125099967,4.244923649447647,0.03555221408060483,8.561153452867616,8.632257881028826
K1_hc64_lag7_out14,1,64,GCLSTM,7,14,2,53.234715687543776,0.24014281677955296,593.240614118391,593.7208997519501,4.134624734007901,0.12711744246922496,8.364422202579746,8.618657087518196
K1_hc128_lag7_out14,1,128,GCLSTM,7,14,2,51.35241407006807,0.024479704715645312,593.2980196045296,593.3469790139609,4.095272013747075,0.037985936891783645,8.444260784713824,8.520232658497392
K1_hc256_lag7_out14,1,256,GCLSTM,7,14,2,49.75233582343954,0.022107408325382494,592.6975239139168,592.7417387305676,4.149212936956837,0.023080558262170925,8.521239414844375,8.567400531368717
K2_hc32_lag7_out14,2,32,GCLSTM,7,14,2,51.84293767073037,0.010239043482954457,593.6278706695332,593.6483487564991,3.9030633445030047,0.0239503157290768,8.298577833160053,8.346478464618206
K2_hc64_lag7_out14,2,64,GCLSTM,7,14,2,50.767423656343155,0.04978635592061664,593.4218062343298,593.521378946171,3.860493057936649,0.03465177086553339,8.268609955015599,8.337913496746665
K2_hc128_lag7_out14,2,128,GCLSTM,7,14,2,49.50894039460622,0.05612006243950418,593.0710021135671,593.1832422384462,3.9088708793298435,0.0023843080191161548,8.345027078712043,8.349795694750275
K2_hc256_lag7_out14,2,256,GCLSTM,7,14,2,48.88723891312101,0.08514915877077556,592.7160034817836,592.8863017993251,3.9907893194162063,0.05048271766114354,8.37863950847313,8.479604943795417
K3_hc32_lag7_out14,3,32,GCLSTM,7,14,2,51.76171023557584,0.05296614672056421,593.5268503158037,593.6327826092448,3.922836816793125,0.01908736624290963,8.351692678201381,8.3898674106872
K3_hc64_lag7_out14,3,64,GCLSTM,7,14,2,51.354058075467,0.02171601152429048,593.6269830241451,593.6704150471937,3.800876559740486,0.02280864423223594,8.236458968885602,8.282076257350074
K3_hc128_lag7_out14,3,128,GCLSTM,7,14,2,50.125166794482695,0.03381879746922323,593.332671310974,593.4003089059124,3.7704054224381647,0.051468150795750844,8.176336706023493,8.279273007614995
K3_hc256_lag7_out14,3,256,GCLSTM,7,14,2,49.20690552022152,0.12723301887541538,592.7754739248398,593.0299399625907,3.7395905713897064,0.04037515949415127,8.165450027625178,8.246200346613481
K4_hc32_lag7_out14,4,32,GCLSTM,7,14,2,51.24397110779932,0.05364830613507365,593.7260307067551,593.8333273190252,3.89049751872316,0.036586474280245085,8.310363386073798,8.383536334634288
K4_hc64_lag7_out14,4,64,GCLSTM,7,14,2,52.04725870343057,0.10344307042737455,593.6517737039995,593.8586598448543,3.7605213677071414,0.03431742314110586,8.205200135631175,8.273834981913387
K4_hc128_lag7_out14,4,128,GCLSTM,7,14,2,51.93350400173383,0.028153200807651046,593.6069490613247,593.66325546294,3.722458110926979,0.03726832093655652,8.172210929841423,8.246747571714536
K4_hc256_lag7_out14,4,256,GCLSTM,7,14,2,50.71279834957736,0.012862128181495791,593.2966415230371,593.3223657794001,3.7101279875763598,0.02669966670951851,8.172366887159942,8.22576622057898
K1_hc32_lag7_out14,1,32,LSTM,7,14,2,53.51474617671843,0.026439917384379896,593.7412407784543,593.7941206132231,4.404872943425269,0.04084873231596209,8.694425785147791,8.776123249779715
K1_hc64_lag7_out14,1,64,LSTM,7,14,2,52.81309440779126,0.05003592678917812,593.5382509696129,593.6383228231913,4.248846704667255,0.03043117740001211,8.574723041462216,8.63558539626224
K1_hc128_lag7_out14,1,128,LSTM,7,14,2,52.405089272118595,0.04318583758760042,593.0027917208961,593.0891633960713,4.090429001219173,0.01325536173466979,8.43267195450717,8.459182677976509
K1_hc256_lag7_out14,1,256,LSTM,7,14,2,50.33837567257699,0.03350843246096247,592.3457145404375,592.4127314053594,3.946348655021854,0.00342781181758145,8.284009803652141,8.290865427287304
K2_hc32_lag7_out14,2,32,LSTM,7,14,2,53.51474617671843,0.026439917384379896,593.7412407784543,593.7941206132231,4.404872943425269,0.04084873231596209,8.694425785147791,8.776123249779715
K2_hc64_lag7_out14,2,64,LSTM,7,14,2,52.81309440779126,0.05003592678917812,593.5382509696129,593.6383228231913,4.248846704667255,0.03043117740001211,8.574723041462216,8.63558539626224
K2_hc128_lag7_out14,2,128,LSTM,7,14,2,52.405089272118595,0.04318583758760042,593.0027917208961,593.0891633960713,4.090429001219173,0.01325536173466979,8.43267195450717,8.459182677976509
K2_hc256_lag7_out14,2,256,LSTM,7,14,2,50.33837567257699,0.03350843246096247,592.3457145404375,592.4127314053594,3.946348655021854,0.00342781181758145,8.284009803652141,8.290865427287304
K3_hc32_lag7_out14,3,32,LSTM,7,14,2,53.51474617671843,0.026439917384379896,593.7412407784543,593.7941206132231,4.404872943425269,0.04084873231596209,8.694425785147791,8.776123249779715
K3_hc64_lag7_out14,3,64,LSTM,7,14,2,52.81309440779126,0.05003592678917812,593.5382509696129,593.6383228231913,4.248846704667255,0.03043117740001211,8.574723041462216,8.63558539626224
K3_hc128_lag7_out14,3,128,LSTM,7,14,2,52.405089272118595,0.04318583758760042,593.0027917208961,593.0891633960713,4.090429001219173,0.01325536173466979,8.43267195450717,8.459182677976509
K3_hc256_lag7_out14,3,256,LSTM,7,14,2,50.33837567257699,0.03350843246096247,592.3457145404375,592.4127314053594,3.946348655021854,0.00342781181758145,8.284009803652141,8.290865427287304
K4_hc32_lag7_out14,4,32,LSTM,7,14,2,53.51474617671843,0.026439917384379896,593.7412407784543,593.7941206132231,4.404872943425269,0.04084873231596209,8.694425785147791,8.776123249779715
K4_hc64_lag7_out14,4,64,LSTM,7,14,2,52.81309440779126,0.05003592678917812,593.5382509696129,593.6383228231913,4.248846704667255,0.03043117740001211,8.574723041462216,8.63558539626224
K4_hc128_lag7_out14,4,128,LSTM,7,14,2,52.405089272118595,0.04318583758760042,593.0027917208961,593.0891633960713,4.090429001219173,0.01325536173466979,8.43267195450717,8.459182677976509
K4_hc256_lag7_out14,4,256,LSTM,7,14,2,50.33837567257699,0.03350843246096247,592.3457145404375,592.4127314053594,3.946348655021854,0.00342781181758145,8.284009803652141,8.290865427287304
K1_hc32_lag14_out7,1,32,GCRN,14,7,2,95.41672767674227,0.06988227446186102,592.0225121444059,592.1622766933297,3.792059746307631,0.14503374985404482,7.408099134709938,7.698166634418028
