model_name,lags,out,Accuracy,Precision,Recall,F1_Score
LSTM,2,6,0.8865415314371387,0.6320774025937741,0.1287415151271132,0.2138377406766638
GCRN,6,5,0.8969853279077828,0.6591292825989002,0.2830227814546737,0.3959939686265724
GCLSTM,6,5,0.8967951084468291,0.6558835137686285,0.2841218338769784,0.3964831707744588
LSTM,6,5,0.8971372090933597,0.6201907674400127,0.387621818098361,0.4728994232028317
GCRN,13,11,0.8868688020321109,0.5761215578156376,0.2130408240529561,0.3110401002836279
GCLSTM,13,11,0.8867327573853453,0.5733694628825637,0.2155115157025161,0.3132618888321346
LSTM,13,11,0.8534994356337882,0.3975582868755103,0.4213718757737286,0.4082199986264932
GCRN,1,7,0.8842728758468198,0.6746552305047643,0.0728377709711399,0.13147736544123
GCLSTM,1,7,0.8842444244059331,0.6703299391399705,0.0737500898051203,0.1328752823130449
LSTM,1,7,0.8837358518578012,0.615011091481086,0.0916935070139063,0.1591640177664544
GCRN,14,4,0.900915179339042,0.6678643062952305,0.3260192033546019,0.4381478123856249
GCLSTM,14,4,0.9010569053268682,0.664511879996094,0.3334045509121049,0.4440205982150217
LSTM,14,4,0.8961608033288628,0.5790066770952473,0.4978155912086796,0.5316374498064053
GCRN,5,9,0.8872817050263363,0.5955658596878394,0.2001722429873343,0.2996316279035328
GCLSTM,5,9,0.8868094177897394,0.5882038728843179,0.2012090163125634,0.2998330332862299
LSTM,5,9,0.8879675722087441,0.5864360066861471,0.2630710877278844,0.3606274945294516
GCRN,3,3,0.8940182123295257,0.6611128218965293,0.2339376042954906,0.3455845867641122
GCLSTM,3,3,0.8939634106519696,0.6554953075926073,0.2394266032724156,0.3507164782117115
LSTM,3,3,0.8961346928692511,0.6567590906148351,0.2759121627235157,0.3885771232107525
GCRN,6,1,0.9266877922874448,0.8233693920704791,0.4940199382795057,0.6175194330040465
GCLSTM,6,1,0.9268792858177234,0.8217608881521687,0.4975567785883926,0.6198212544732365
LSTM,6,1,0.934143603110918,0.7881907313436629,0.6160530170513532,0.6914579641003847
GCRN,9,1,0.9276096530457524,0.8219062633466745,0.505202155950908,0.6257605158759005
GCLSTM,9,1,0.9278813898614058,0.8162186700715346,0.5136524595759204,0.6305153346954622
LSTM,9,1,0.9390074365592496,0.8322745623209957,0.61672852937412,0.7077222315072664
GCRN,3,2,0.899530320567448,0.704640948814325,0.2810673578056807,0.401841973797345
GCLSTM,3,2,0.8995800104297833,0.7019814697875175,0.2844246550189969,0.4048154755346707
LSTM,3,2,0.9011159868228592,0.6708572178372159,0.3550069914266747,0.4619803894270975
GCRN,4,1,0.9096080351729606,0.738931221136587,0.3851548686592608,0.5063677340828517
GCLSTM,4,1,0.9097069061277095,0.735853782829528,0.3898463640910403,0.5096644130637176
LSTM,4,1,0.9141433798433836,0.7163580725785568,0.4842961700209215,0.5748952838096282
GCRN,12,1,0.9282283523527122,0.8176681066170517,0.509817474889297,0.6280448778286513
GCLSTM,12,1,0.9285083586853736,0.8143490544069378,0.5161824531086869,0.631839391722804
LSTM,12,1,0.9407232070651964,0.8510544902076372,0.6084026352737878,0.7092251624477172
GCRN,11,5,0.8976322431995598,0.649159018556803,0.3004825574240439,0.4107808118942805
GCLSTM,11,5,0.897361394821005,0.6435493862586485,0.3043661818892564,0.4132610147356788
LSTM,11,5,0.8875019429829086,0.5405317662055624,0.4649757128689218,0.49533542880093
GCRN,6,6,0.8944244338044319,0.6399945096738406,0.2648950477641961,0.3746921568523133
GCLSTM,6,6,0.8942270088015437,0.6355471271524259,0.2678177531359064,0.3768294262100748
LSTM,6,6,0.8932592526033087,0.5992571441868504,0.3677831154343209,0.4506260459730686
GCRN,11,7,0.8927603130388645,0.6168312934506769,0.2622075379445083,0.3679826341449445
GCLSTM,11,7,0.8926201775458973,0.6153124304453481,0.2618675485485465,0.3673756305971126
LSTM,11,7,0.8748767151552667,0.4884227459321993,0.4443748053003687,0.4576895794696715
