Identificador,tipo_grafo,RMSE,MAE,R2
GCLSTM_k1_h256_lags2_out5_alpha0.01,grafo_original,1.223485745914281,0.1399034091145271,0.3343588271648464
LSTM_k1_h256_lags2_out5_alpha0.01,grafo_original,1.2479325467530118,0.1520468770292666,0.3076740802825926
GCRN_k1_h256_lags4_out9_alpha0.01,grafo_original,1.3353386078048313,0.1502372177768862,0.2107257972552582
GCLSTM_k1_h256_lags4_out9_alpha0.01,grafo_original,1.341247102989542,0.1507569426260479,0.2037103092960119
LSTM_k1_h256_lags4_out9_alpha0.01,grafo_original,1.339050163846863,0.1515417711495214,0.2063342384424832
GCRN_k1_h256_lags11_out8_alpha0.01,grafo_original,1.2459231325507112,0.119172353714748,0.3084844541210588
GCLSTM_k1_h256_lags11_out8_alpha0.01,grafo_original,1.2593411446394045,0.119151680408368,0.2935100567097045
LSTM_k1_h256_lags11_out8_alpha0.01,grafo_original,1.277703657934992,0.1269763976034812,0.2727503082507049
GCRN_k1_h256_lags6_out13_alpha0.01,grafo_original,1.358151000004299,0.1401829458899015,0.1890766397264077
GCLSTM_k1_h256_lags6_out13_alpha0.01,grafo_original,1.3689982105538665,0.1422849825118663,0.1760692027112475
LSTM_k1_h256_lags6_out13_alpha0.01,grafo_original,1.3647759208823476,0.1311620351070949,0.1811466805281295
GCRN_k1_h256_lags13_out12_alpha0.01,grafo_original,1.3413328641201687,0.1272722565212459,0.2057186416670285
GCLSTM_k1_h256_lags13_out12_alpha0.01,grafo_original,1.3501832593222194,0.1279750813858159,0.1952014087197746
LSTM_k1_h256_lags13_out12_alpha0.01,grafo_original,1.3509139605826077,0.1321825436689792,0.1943311886266215
GCRN_k1_h256_lags1_out11_alpha0.01,grafo_original,2.21537654499049,0.277974427768339,-1.1662782057895689
GCLSTM_k1_h256_lags1_out11_alpha0.01,grafo_original,2.251723890272224,0.2826807028288579,-1.237425264287144
LSTM_k1_h256_lags1_out11_alpha0.01,grafo_original,1.873132920502823,0.231757705052653,-0.5470432937751217
GCRN_k1_h256_lags9_out13_alpha0.01,grafo_original,1.3495173613375226,0.1324655293336347,0.1991435068620344
GCLSTM_k1_h256_lags9_out13_alpha0.01,grafo_original,1.3559922619236826,0.1340168288269284,0.1914400773315941
