Identificador,tipo_grafo,RMSE,MAE,R2
LSTM_k1_h256_lags3_out10_alpha0.01,grafo_original,589.3972421331636,8.037477774539298,0.0057995312924129
GCRN_k1_h256_lags3_out4_alpha0.01,grafo_original,585.7662509902132,8.214564898247433,0.0122594884536458
GCLSTM_k1_h256_lags3_out4_alpha0.01,grafo_original,586.3229533919633,8.203187269254117,0.0103815309181982
LSTM_k1_h256_lags3_out4_alpha0.01,grafo_original,583.8688988884044,7.684766510059676,0.018648227918908
GCRN_k1_h256_lags2_out8_alpha0.01,grafo_original,589.1581576400818,8.974649047384432,0.0037892426746517
GCLSTM_k1_h256_lags2_out8_alpha0.01,grafo_original,590.0669970957495,8.931417294377182,0.0007134270082382
LSTM_k1_h256_lags2_out8_alpha0.01,grafo_original,588.570934932417,8.908184575415744,0.0057742797389927
GCRN_k1_h256_lags7_out2_alpha0.01,grafo_original,581.503206872862,7.2990945746596,0.037430759839724
GCLSTM_k1_h256_lags7_out2_alpha0.01,grafo_original,583.6893303447084,7.499927061312681,0.0301805531389872
LSTM_k1_h256_lags7_out2_alpha0.01,grafo_original,604.6922889136868,16.824475191074036,-0.0408703557076248
GCRN_k1_h256_lags6_out2_alpha0.01,grafo_original,581.1217906308553,7.441908578610997,0.0386933283640723
GCLSTM_k1_h256_lags6_out2_alpha0.01,grafo_original,584.0697854634506,7.597537658169061,0.0289117281406019
LSTM_k1_h256_lags6_out2_alpha0.01,grafo_original,602.7102617861774,13.302213192013738,-0.0340577496695444
GCRN_k1_h256_lags2_out6_alpha0.01,grafo_original,589.2764556575893,8.957580226527304,0.0023983165545072
GCLSTM_k1_h256_lags2_out6_alpha0.01,grafo_original,589.8101805865792,8.885668298006749,0.0005903328267842
LSTM_k1_h256_lags2_out6_alpha0.01,grafo_original,591.9142931595028,8.682034363664169,-0.0065651537714113
GCRN_k1_h256_lags6_out5_alpha0.01,grafo_original,586.8168354412893,7.531154760773498,0.0097830712663028
GCLSTM_k1_h256_lags6_out5_alpha0.01,grafo_original,587.8526027975859,7.717476455848187,0.0062846438385361
LSTM_k1_h256_lags6_out5_alpha0.01,grafo_original,595.7891325257997,14.365154972961609,-0.020728630357533
GCRN_k1_h256_lags13_out11_alpha0.01,grafo_original,591.5875886277342,7.759638172690183,0.0037442460119696
GCLSTM_k1_h256_lags13_out11_alpha0.01,grafo_original,591.9506763812263,7.848104623650319,0.0025208942666052
LSTM_k1_h256_lags13_out11_alpha0.01,grafo_original,600.6846667211364,17.954444450187175,-0.027131159838007
GCRN_k1_h256_lags1_out7_alpha0.01,grafo_original,589.5312145113893,9.48052601374685,0.0021013359419537
GCLSTM_k1_h256_lags1_out7_alpha0.01,grafo_original,590.050517877932,9.282670749848965,0.0003422488249946
LSTM_k1_h256_lags1_out7_alpha0.01,grafo_original,591.7112318103951,9.048276876178011,-0.0052925874350028
GCRN_k1_h256_lags14_out4_alpha0.01,grafo_original,586.8367108555874,6.952375904787384,0.0147879312363959
GCLSTM_k1_h256_lags14_out4_alpha0.01,grafo_original,587.7358755081525,7.0498480785799655,0.0117671709460973
LSTM_k1_h256_lags14_out4_alpha0.01,grafo_original,605.2676997226306,20.383631109051397,-0.0480739272769024
GCRN_k1_h256_lags5_out9_alpha0.01,grafo_original,589.5468526904685,8.177074280142877,0.0047707644788086
GCLSTM_k1_h256_lags5_out9_alpha0.01,grafo_original,590.28452580551,8.263903412676255,0.0022786634802141
