param_config,K,hidden_channel,model,lag,out,num_reps_found,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_min,MAE_max
K2_hc32_lag7_out14,2,32,GCLSTM,7,14,2,2.296822021815968,0.03351380905720114,2.736019892402841,2.8030475105172434,0.18129001360127542,0.0034985756419924907,0.21231870362339836,0.21931585490738334
K2_hc64_lag7_out14,2,64,GCLSTM,7,14,2,2.7402239225430436,0.06754997810005525,3.039455770009135,3.1745557262092454,0.1903929691129145,0.004560540058929682,0.21970847905996513,0.2288295591778245
K2_hc128_lag7_out14,2,128,GCLSTM,7,14,2,2.8944565994377385,0.0010609679403301708,3.1959441703924574,3.1980661062731177,0.20126115512396525,0.00012821808744077623,0.22813555545571063,0.22839199163059218
K2_hc256_lag7_out14,2,256,GCLSTM,7,14,2,2.8181885591118196,0.0367811063976935,3.0739609381232826,3.1475231509186696,0.1947818628616213,0.0008309746424242648,0.2205899037944921,0.22225185307934062
K3_hc32_lag7_out14,3,32,GCLSTM,7,14,2,4.193221707897265,0.34322056778628696,4.541574195512961,5.228015331085535,0.39075492627483005,0.027927744851926617,0.38846736533563037,0.4443228550394836
K3_hc64_lag7_out14,3,64,GCLSTM,7,14,2,4.209065298097239,0.35269180441816816,4.516850633112933,5.222234241949269,0.3691412674884694,0.03605869087560265,0.35956172524002733,0.43167910699123263
K3_hc128_lag7_out14,3,128,GCLSTM,7,14,2,3.6479981518465823,0.09949008214253752,4.021493654209069,4.220473818494144,0.30283696402920457,0.005218663155243858,0.32174231121189956,0.33217963752238727
K3_hc256_lag7_out14,3,256,GCLSTM,7,14,2,2.8108885394013186,0.02616171184156646,3.2398126409717363,3.292136064654869,0.22838234967762566,0.002442420788014793,0.2575585994825583,0.2624434410585879
K4_hc32_lag7_out14,4,32,GCLSTM,7,14,2,9.3208218378741,0.04854055686595249,10.6818507206134,10.778931834345306,0.7516312177981173,0.01669546411602224,0.7696160617685288,0.8030069900005733
K4_hc64_lag7_out14,4,64,GCLSTM,7,14,2,8.517038420673883,0.3458967652058531,9.427193235385273,10.11898676579698,0.6527033693548935,0.019937587633851228,0.675944841405841,0.7158200166735434
K4_hc128_lag7_out14,4,128,GCLSTM,7,14,2,9.550971724974444,0.43130042866260343,10.368957193466661,11.231558050791868,0.6219277673954091,0.021211149325645884,0.6557162885734737,0.6981385872247655
K4_hc256_lag7_out14,4,256,GCLSTM,7,14,2,10.071689058742699,0.4037620650036393,10.803080057852263,11.610604187859542,0.6395626845097513,0.020315429240534366,0.6586786205074201,0.6993094789884888
