param_config,K,hidden_channel,model,lag,out,num_reps_found_for_config,node_id,RMSE,MAE
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,197,0.707383616121632,0.208226409088322
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,198,0.0018761438810940795,0.0017019041485269231
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,199,0.01899565573290717,0.017154548580305275
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,200,0.2288001071619973,0.07717473000546052
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,201,1.2279022510722184,0.3028505997881915
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,202,0.0010566723480267542,0.0008692823246442079
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,203,0.09538459258299001,0.020812366821304915
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,204,0.5501235337986241,0.14059592695938627
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,0,0.0015075371441920947,0.0011906291761954338
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,1,0.004637342569716522,0.0036329830965985735
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,2,0.0037212113941051763,0.003598293523717305
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,3,0.0026832100537006838,0.002589447279978075
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,4,0.0017457792993896537,0.0016910138659938885
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,5,0.0026832100537006838,0.002589447279978075
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,6,0.19791393417914335,0.03864666647199606
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,7,0.0009363453002199376,0.0008109730739377889
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,8,0.0026557077461172897,0.00212770217920708
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,9,0.009655036816902414,0.007735782080744016
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,10,0.0017282003526725737,0.0016653872922764742
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,11,0.0006379800386405871,0.0005565206979860341
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,12,0.006114142804175828,0.004545696188686087
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,13,0.002931575315080935,0.002339881743106426
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,14,0.008004101660774246,0.006743738180208573
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,15,0.004502942220532788,0.0033150808963228156
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,16,0.2724485125842244,0.1036378869508463
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,17,0.0023293268998394404,0.0022182165023612197
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,18,0.28570049831485084,0.05175604946213432
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,19,0.001803544685734697,0.0017190607706303958
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,20,0.0028921455910255753,0.0027757079615726436
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,21,1.637824172799399,1.141853580757624
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,22,0.0023241436813037897,0.0018523584848993194
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,23,0.0012280880744366957,0.0011246572013045163
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,24,0.0012211946147604746,0.0010510943563179717
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,25,0.0013472672949910367,0.0011899769493527083
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,26,7.309986403120607,2.157876473195288
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,27,0.002363677372771272,0.0022266507372517143
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,28,0.001748038434992235,0.0014005225948287648
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,29,0.0022679834924729933,0.0016774406114129351
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,30,0.0013286998576502813,0.0011442633047834903
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,31,0.002219637343983575,0.0017707856477530816
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,32,0.5829889481530467,0.40937553760192386
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,33,0.119547872247896,0.06639322155644123
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,34,0.0010284168948954627,0.0008013364256799597
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,35,0.8548303595807899,0.6833472631732106
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,36,0.0017457792993896552,0.00169101386599389
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,37,0.0023293268998394404,0.0022182165023612197
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,38,0.008209284807265857,0.006470981852903688
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,39,0.00434301277334774,0.0034799076908717304
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,40,0.004444680076914915,0.003553418717734435
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,41,0.09373247628253278,0.0179525305832071
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,42,2.9656046929053987,2.2721115175948334
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,43,0.0047994564922260756,0.0046267189066322625
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,44,0.001815617405245289,0.0014255345486401815
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,45,0.001976254642861006,0.0015437720454524468
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,46,0.1373399975089135,0.037749403716350646
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,47,0.001676055860991068,0.0013054535881248475
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,48,0.4962228337707674,0.056357006346229276
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,49,0.0009131630513067127,0.0007330671804534968
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,50,0.0009504184207461705,0.0008242613129134497
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,51,0.009339279616798445,0.007006862808724844
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,52,0.0012050225952420098,0.0011407891622399304
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,53,6.136762465729648,1.847185923903198
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,54,0.0016639759346152609,0.0015649647293746927
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,55,0.002129276308163216,0.0016410287869105145
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,56,0.0022488167409867557,0.002161077773932085
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,57,0.0008733361739049423,0.0006786051161865688
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,58,0.0009422624497548532,0.000776071951566704
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,59,0.002373747979294607,0.0018890785065689265
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,60,0.5256235331026617,0.151076356623988
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,61,0.35197731440174884,0.1730029151372554
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,62,0.004135083789318436,0.003974916670618196
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,63,0.054283009243980294,0.040181709331553225
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,64,0.003625934898019198,0.002757347743047691
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,65,0.0009743237690814779,0.0008401631470406569
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,66,0.004497633481973509,0.004322155547864168
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,67,0.0025543643884208783,0.00237853115480225
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,68,0.10408627607743748,0.0220900592770864
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,69,0.0015172397720750984,0.001176769291047002
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,70,0.002700353473211772,0.0021067910928133115
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,71,0.0018795976920719343,0.0017505650900696622
